open,high,low,close,volume
100,101,99,100.5,1000
100.5,102,100,101.5,1020
101.5,102,100.5,101,980
101,103,100.8,102.4,1100
102.4,103,101,101.8,1050
101.8,102.2,100.7,101.2,990
101.2,102.8,101,102.5,1200
102.5,104,102,103.6,1250
103.6,104,102.8,103.1,1080
103.1,103.5,101.9,102.2,1040
102.2,103,101.7,102.8,1000
102.8,104.2,102.6,103.9,1300
103.9,105,103.2,104.5,1350
104.5,105.2,103.8,104,1150
104,104.4,102.9,103.2,1100
103.2,104,102.7,103.7,1090
103.7,105,103.5,104.8,1400
104.8,106,104.2,105.5,1450
105.5,106.2,104.7,105,1200
105,105.4,103.9,104.2,1180
104.2,105,103.5,104.7,1120
104.7,106.1,104.4,105.8,1480
105.8,107,105.2,106.5,1500
106.5,107.2,105.7,106,1270
106,106.5,104.8,105.2,1230
105.2,106,104.6,105.7,1190
105.7,107.1,105.4,106.8,1520
106.8,108,106.2,107.5,1550
107.5,108.1,106.7,107,1300
107,107.4,105.9,106.2,1260
106.2,107,105.5,106.7,1210
106.7,108.2,106.4,107.9,1580
107.9,109,107.3,108.5,1600
108.5,109.2,107.6,108,1320
108,108.4,106.8,107.2,1280
107.2,108,106.6,107.7,1240
107.7,109.1,107.4,108.8,1620
108.8,110,108.2,109.5,1650
109.5,110.2,108.7,109,1350
109,109.4,107.9,108.2,1310

